task,image_id,lpips,ssim,psnr,image_reward,i2i_clip,i2t_clip,fid
adding,2328,0.1711674928665161,0.8294768639270546,16.996332673505748,1.6795469522476196,0.933243989944458,0.2947797179222107,
adding,2332,0.19724687933921814,0.880830893096209,15.238902011177798,1.1494489908218384,0.9036082625389099,0.33249056339263916,
adding,2335,0.3692757785320282,0.8646521750757531,14.726566489053068,0.5438472032546997,0.73873370885849,0.28033697605133057,
adding,2342,0.18022161722183228,0.847878599372602,17.597552805604078,1.7010715007781982,0.8711566925048828,0.29182112216949463,
adding,2344,0.2867300510406494,0.848331000316558,13.473955749365992,0.9382040500640869,0.8807838559150696,0.2645811140537262,
adding,2360,0.22588452696800232,0.892528691649785,18.32218495192666,0.42058494687080383,0.7677684426307678,0.2916049659252167,
adding,2414,0.15855038166046143,0.9290537229462975,22.208042522647425,0.5116307139396667,0.8782544732093811,0.2704790234565735,
adding,2426,0.4528031349182129,0.3815398822446905,14.523753932729548,-0.4419192373752594,0.9033018946647644,0.263153076171875,
adding,2445,0.14213378727436066,0.8980733945349545,20.479827687467402,0.8749597668647766,0.885016143321991,0.3447681665420532,
adding,2446,0.1600230485200882,0.8514157985858244,17.416964607276178,2.0032615661621094,0.8765385746955872,0.32827600836753845,
adding,2513,0.1317363828420639,0.9271074105680626,18.858461931650787,0.24661853909492493,0.883894681930542,0.27127766609191895,
adding,2519,0.14538109302520752,0.933148677969677,21.722879581819168,1.5202670097351074,0.8249298334121704,0.30502796173095703,
adding,2535,0.07511188834905624,0.9462263334202654,26.16019787826155,-2.074977159500122,0.9247080683708191,0.26294851303100586,
adding,2564,0.29967135190963745,0.7325939887936008,11.670816982619698,0.40205612778663635,0.861243486404419,0.2681805491447449,
adding,2607,0.16526076197624207,0.9200749506860991,21.391581530194,0.3344975709915161,0.8306494355201721,0.2875577211380005,
adding,2618,0.5302793383598328,0.3234143456369941,7.004421478193209,1.1557896137237549,0.7473769783973694,0.3337540030479431,
adding,2619,0.17606675624847412,0.9137712494758089,17.872020724717203,0.9969016909599304,0.8113182187080383,0.2872874438762665,
adding,2631,0.22925922274589539,0.8567883446519337,14.957122882438227,0.1885100156068802,0.8887435793876648,0.2780909836292267,
adding,2635,0.21151748299598694,0.8886877738404674,16.365165373703697,-0.7730886936187744,0.9445086121559143,0.2944530248641968,
adding,2654,0.1273990124464035,0.9208133933356143,19.863552968088044,0.321642130613327,0.852923572063446,0.27105024456977844,
adding,2660,0.17681914567947388,0.8598292925953288,20.095879080232212,0.10928477346897125,0.855387806892395,0.2929481565952301,
adding,2669,0.3523640036582947,0.6346117009989732,12.316740025786677,0.05949407070875168,0.8257846832275391,0.33452582359313965,
adding,2680,0.2867797911167145,0.751541898561626,13.4707934442853,0.44618403911590576,0.9120796322822571,0.26307833194732666,
adding,2684,0.2726854979991913,0.8538847289849159,15.4138969872656,0.6372846961021423,0.842341959476471,0.2700624465942383,
adding,2698,0.2147367000579834,0.8782445796438202,16.27106828387298,0.8017363548278809,0.9245851635932922,0.23879295587539673,
adding,2708,0.13629013299942017,0.9219162746851502,19.534947889061367,0.7253283262252808,0.7828805446624756,0.3390836715698242,
adding,2721,0.20951327681541443,0.8669273323924931,14.647895715948408,0.43259355425834656,0.8639473915100098,0.2893323302268982,
adding,2723,0.08589856326580048,0.9421042648925669,24.62088521611719,0.17050834000110626,0.9013932943344116,0.3051646649837494,
adding,2731,0.26134026050567627,0.7764446681161022,13.286247613504504,0.18377767503261566,0.8894138336181641,0.2568839192390442,
adding,2732,0.1241922527551651,0.9448194309991251,23.02624794506944,1.5914642810821533,0.9225923418998718,0.330622136592865,
adding,2734,0.12171626091003418,0.9266550748464754,21.946427307003027,1.2567740678787231,0.9177175760269165,0.35812050104141235,
adding,2748,0.04396018385887146,0.9768159417231536,33.21139919698258,-0.8290975689888,0.936672568321228,0.26735103130340576,
adding,2767,0.1286213994026184,0.9260226371837271,23.85072380749131,-0.6992072463035583,0.9278013706207275,0.26360398530960083,
adding,2769,0.0644141361117363,0.9409800794038768,22.321206538169935,-0.3222636878490448,0.9129424095153809,0.24994173645973206,
adding,2792,0.19738896191120148,0.8683564567476406,20.808060503426237,1.2948570251464844,0.8168712258338928,0.34784460067749023,
adding,2793,0.11029218137264252,0.8898269224368843,21.84182190337452,1.3480607271194458,0.8276142477989197,0.3203572630882263,
adding,2837,0.18192128837108612,0.924886920906335,22.750778043982823,0.6281045079231262,0.8475942611694336,0.2793118953704834,
adding,2839,0.26364046335220337,0.8733751652190319,16.074568095902066,0.37374716997146606,0.8868556618690491,0.2702651619911194,
adding,2850,0.0806461051106453,0.9456645761694281,22.165168745239395,-0.3185217082500458,0.9448862075805664,0.30119556188583374,
adding,2859,0.1341085135936737,0.9234142338551345,16.989357196231076,0.7269978523254395,0.8315497636795044,0.25996673107147217,
adding,2873,0.22071918845176697,0.8525897492587212,15.154200579964227,0.06994315981864929,0.7921870350837708,0.28195062279701233,
adding,2877,0.13294965028762817,0.9662620375465049,24.890403149466543,-0.19208833575248718,0.8374652862548828,0.2826562523841858,
adding,2895,0.10799936950206757,0.910858772234314,22.627472779872097,0.44899994134902954,0.845291256904602,0.27187398076057434,
adding,2930,0.19437137246131897,0.8066671642272804,13.44274219751262,1.5941083431243896,0.9241108298301697,0.31021830439567566,
adding,2941,0.11398899555206299,0.962279137120011,23.578401727963374,-0.11491197347640991,0.9393488168716431,0.2941896319389343,
adding,2948,0.0871257334947586,0.9410680489223068,23.10129042744153,0.3649079203605652,0.9519696235656738,0.2797612249851227,
adding,2955,0.2326299399137497,0.8510109397234847,13.56359784382956,-0.10892017185688019,0.741063117980957,0.26703429222106934,
adding,2974,0.07491745054721832,0.9836831239267464,36.58987337196042,0.2132360190153122,0.9008879661560059,0.2888490557670593,
adding,3013,0.1765483170747757,0.9201020149048951,23.103543403178122,0.4321606159210205,0.9027180671691895,0.3314809799194336,
adding,3024,0.5168952345848083,0.4046668346691704,5.917742324532568,0.09657028317451477,0.8246567845344543,0.29033660888671875,
adding,3037,0.0875554084777832,0.9309344818064101,20.751620652309548,-0.11376678943634033,0.845256507396698,0.30270272493362427,
adding,3039,0.6862185001373291,0.3133625961340759,11.796844682181986,1.0928815603256226,0.5463584661483765,0.3164196014404297,
adding,3041,0.12423588335514069,0.9659175390936396,29.047994915566164,0.5499407052993774,0.9482358694076538,0.2755141258239746,
adding,3044,0.23444664478302002,0.863242772435191,16.089978627117357,-0.11422064900398254,0.8537458181381226,0.2817426919937134,
adding,3050,0.09256507456302643,0.9555978732769571,23.73778782019343,1.6332248449325562,0.940387487411499,0.3289642930030823,
adding,3067,0.14289715886116028,0.9447776403090749,21.78306315749942,0.554617702960968,0.8583362102508545,0.28373557329177856,
adding,3098,0.38744568824768066,0.13712307189464282,8.13546331439554,0.4973078966140747,0.7519959211349487,0.2991170585155487,
adding,3102,0.10507220774888992,0.96081801853228,24.426645275759014,0.6236975789070129,0.904065728187561,0.2824292778968811,
adding,3104,0.1629551202058792,0.9411640208763236,25.34523408449821,0.6436013579368591,0.8839446902275085,0.2772066593170166,
adding,3109,0.4839097261428833,0.35156737525933773,12.497576811442368,-1.2833532094955444,0.896276593208313,0.25932544469833374,
adding,3112,0.17090536653995514,0.9273349197579167,19.21826386017143,0.6465982794761658,0.7666838765144348,0.28709423542022705,
adding,3131,0.186827152967453,0.8775460418326423,15.565200668094757,0.48136091232299805,0.867023766040802,0.2709493041038513,
adding,3152,0.5475115776062012,0.7830861080876605,10.60423208922279,0.34386539459228516,0.786879301071167,0.29420754313468933,
adding,3179,0.1066693365573883,0.9578132923013024,27.08944965281434,0.6601322293281555,0.9156365394592285,0.2619814872741699,
adding,3210,0.1429232507944107,0.8878871345704384,17.625395060847215,-0.6186534762382507,0.8695936799049377,0.2815726697444916,
adding,3214,0.10894939303398132,0.921009411325587,20.872488213048193,0.3499349355697632,0.930388331413269,0.26337170600891113,
adding,3226,0.2674238085746765,0.7749868600199847,14.38634702133404,0.8044223785400391,0.813397228717804,0.2953171133995056,
adding,3228,0.08348973095417023,0.941583233378431,19.829454462098084,1.7951836585998535,0.8135499954223633,0.27545273303985596,
adding,3233,0.18604320287704468,0.9230425523461352,21.335225307904192,-0.015591631643474102,0.8340931534767151,0.25944435596466064,
adding,3247,0.09120159596204758,0.9801810026073235,33.25818234255039,1.3476669788360596,0.9262565970420837,0.29703497886657715,
adding,3254,0.22793585062026978,0.8484272792170442,19.889746098560007,1.1644365787506104,0.8445024490356445,0.3137158155441284,
adding,3278,0.13524523377418518,0.9036886472628395,23.22860047780089,-0.6775946617126465,0.9291608333587646,0.2839285731315613,
adding,3292,0.13054850697517395,0.9204546974150128,17.518649536073546,-0.48233985900878906,0.9106541275978088,0.24670639634132385,
adding,3297,0.0992862656712532,0.8939107564352801,16.527326659666286,1.0614031553268433,0.8738325834274292,0.30007725954055786,
adding,3298,0.4137080907821655,0.7867701284758303,14.179065140589769,-0.33713600039482117,0.7912851572036743,0.307043194770813,
adding,3302,0.23615337908267975,0.8884304715446302,14.04874570261712,-0.055992648005485535,0.9133249521255493,0.2508079409599304,
adding,3333,0.18290114402770996,0.8660253954420999,20.229486053508552,1.1985644102096558,0.8299919366836548,0.31025323271751404,
adding,3335,0.10046453773975372,0.8924331052681929,16.577343296273114,0.8992550373077393,0.8797789812088013,0.29363012313842773,
adding,3336,0.18255773186683655,0.814935107764482,16.381551775092685,-2.0227763652801514,0.800321102142334,0.26867789030075073,
adding,3358,0.4478289484977722,0.39864474738180666,16.386564074792446,0.2399706244468689,0.889973521232605,0.2825433015823364,
adding,3360,0.13611873984336853,0.9433006126900958,25.410591618602695,0.669378936290741,0.8800608515739441,0.28093013167381287,
adding,3365,0.13405492901802063,0.9041249750437895,23.095030154323467,-0.7537173628807068,0.909251868724823,0.2895653247833252,
adding,3370,0.2715824842453003,0.901984928416379,16.89567589495866,0.31538403034210205,0.8613342046737671,0.27536582946777344,
adding,3372,0.16122101247310638,0.900778024299326,19.20139926256422,0.6375995874404907,0.7969871163368225,0.2815374732017517,
adding,3401,0.15072862803936005,0.9345231067634181,19.95404706448854,0.3845440149307251,0.8521700501441956,0.28376394510269165,
adding,3405,0.6028242111206055,0.45352530069591607,12.35389831780186,-0.08326256275177002,0.6183599233627319,0.2413903772830963,
adding,3409,0.2695772647857666,0.7855438746186408,14.779744196817497,0.8978113532066345,0.7921793460845947,0.2971721291542053,
adding,3422,0.10559327155351639,0.9179595005161492,16.02319166559392,0.43355175852775574,0.8847796320915222,0.31184232234954834,
adding,3455,0.09743791818618774,0.9212040152715439,18.758616933392325,-0.1105431318283081,0.8650484085083008,0.2728739380836487,
adding,3457,0.10826440155506134,0.9611937816983754,33.23233768810478,0.2363629937171936,0.8984711170196533,0.2827114760875702,
adding,3486,0.06428538262844086,0.9555747179197244,25.390692220669308,1.5787335634231567,0.8827402591705322,0.3197023868560791,
adding,4417,0.14777320623397827,0.9494663566854452,24.57949382363507,0.21150493621826172,0.8604233264923096,0.2869756817817688,
adding,6834,0.2565026581287384,0.7042878687581626,14.203294699936006,1.8092809915542603,0.8831422924995422,0.32192274928092957,
adding,7130,0.18054071068763733,0.9624277714198977,25.701007708727268,0.32231926918029785,0.8905054330825806,0.2699015140533447,
adding,7720,0.5797243118286133,0.6357011427146384,12.704272372403885,1.583219051361084,0.8210217952728271,0.3597875237464905,
adding,8214,0.06992293894290924,0.9494956773293355,22.61476301428479,-0.46132585406303406,0.9397994875907898,0.2618081867694855,
adding,8221,0.10983254760503769,0.9595470480000485,27.874979196694262,0.8267421126365662,0.8986185193061829,0.282540500164032,
adding,8226,0.0500108078122139,0.9659238868946255,22.43116577896521,-0.6683740019798279,0.960269570350647,0.2673453092575073,
adding,8255,0.3622816801071167,0.6817267063626824,13.012923063920763,0.1365891844034195,0.8613388538360596,0.31685876846313477,
adding,8271,0.07401902228593826,0.9647010645710985,28.84387625441201,0.5596387386322021,0.9630751609802246,0.26382672786712646,
adding,8276,0.18895044922828674,0.8671981313252829,16.13559797903259,0.8986078500747681,0.8959726095199585,0.2711027264595032,
adding,8277,0.1408376544713974,0.918642374629799,21.117643378517062,0.5755440592765808,0.8822207450866699,0.27325868606567383,
adding,8313,0.08369091153144836,0.9211985721884064,19.898881917920637,-0.37863990664482117,0.8722989559173584,0.32237404584884644,
adding,8329,0.2741667330265045,0.8828147965031081,19.3494253329417,-0.4445429742336273,0.8500868678092957,0.290066659450531,
adding,8347,0.16631534695625305,0.936472657603168,21.249611317142502,0.3163086771965027,0.8568805456161499,0.2704203426837921,
adding,8378,0.15287624299526215,0.8228766225637418,18.085430063153204,0.8589199185371399,0.8245729804039001,0.2973284125328064,
adding,8393,0.27639472484588623,0.6973913323838584,12.811335913646921,0.6064636707305908,0.8189352750778198,0.32716622948646545,
adding,8406,0.09709645807743073,0.8760574172930751,22.16627673970255,0.3286459445953369,0.9854563474655151,0.29853177070617676,
adding,8411,0.16246017813682556,0.9131207180222849,20.256502386587044,1.7201627492904663,0.8738293051719666,0.3306313157081604,
adding,8417,0.1936275213956833,0.9196064173788723,15.034471458790431,0.9663465023040771,0.8225570917129517,0.27229154109954834,
adding,8421,0.22977033257484436,0.8673939819039115,16.323122330531504,0.4748058617115021,0.809205949306488,0.28931596875190735,
adding,8428,0.25635698437690735,0.8368881547313208,15.281482115788416,0.8636797666549683,0.8272548317909241,0.32521387934684753,
adding,8439,0.08530193567276001,0.9416761208805413,20.443719754226105,0.6632955074310303,0.9010508060455322,0.3198171555995941,
adding,8522,0.043986089527606964,0.8985714039624918,24.02368102948096,-0.22561611235141754,0.9501423835754395,0.2589567303657532,
adding,8539,0.07627055048942566,0.9469772418249461,22.290333553082963,-0.3283970057964325,0.804882824420929,0.32715487480163574,
adding,8584,0.12843064963817596,0.8766821989586431,20.298652698072956,-0.19413433969020844,0.9299237728118896,0.2995437979698181,
adding,8585,0.05524277687072754,0.9736038134220352,31.163974035407538,0.5054460763931274,0.9631395936012268,0.2634655833244324,
adding,8587,0.10629475116729736,0.9070555534855158,23.088312159800104,-0.035266194492578506,0.862234890460968,0.2714853584766388,
adding,8628,0.19175440073013306,0.8772062577060664,20.339958830695984,0.7015290856361389,0.6734516620635986,0.3540193438529968,
adding,8631,0.21711479127407074,0.7799495594478536,17.037406098844695,-0.7416597008705139,0.8841737508773804,0.2598806619644165,
adding,8649,0.07750477641820908,0.9557927107300616,23.975213369201754,-0.37334349751472473,0.9465149641036987,0.3015475869178772,
adding,8668,0.1268167495727539,0.8804780101612489,17.739636945556054,0.9559218287467957,0.8448269963264465,0.3083534240722656,
adding,8677,0.1266116499900818,0.9366185951046576,22.805677025154747,0.5858421921730042,0.88999342918396,0.2693907618522644,
adding,8705,0.5443362593650818,0.4048916358990982,14.670437777356728,0.44562479853630066,0.8509680032730103,0.28683555126190186,
adding,8709,0.07451280951499939,0.9604523504091818,27.51871567776555,0.2450280785560608,0.965347409248352,0.29188960790634155,
