task,image_id,lpips,ssim,psnr,image_reward,i2i_clip,i2t_clip,fid
adding,2328,0.17767170071601868,0.7945113440186637,16.4520567528947,1.6594666242599487,0.9176476001739502,0.2908893823623657,
adding,2332,0.25087594985961914,0.7630938727986519,13.732819941566461,1.1465948820114136,0.893164336681366,0.333280086517334,
adding,2335,0.33273762464523315,0.8641645736667817,15.248821283686013,0.8453153371810913,0.707267701625824,0.2831735610961914,
adding,2342,0.1394147127866745,0.8598208227556926,17.95165807355761,1.6557285785675049,0.8420895338058472,0.2959001362323761,
adding,2344,0.38184064626693726,0.6573923192569227,10.59851455692816,0.8996061682701111,0.8362904191017151,0.2726946771144867,
adding,2360,0.20888227224349976,0.8806453576077358,17.40480482816063,0.33402007818222046,0.8051483631134033,0.2833612561225891,
adding,2414,0.18381738662719727,0.8976421900951062,18.55325346204818,0.4806188941001892,0.8328333497047424,0.26712971925735474,
adding,2426,0.14117327332496643,0.8920843023029961,24.69389200356135,-0.4382938742637634,0.9650516510009766,0.26336413621902466,
adding,2445,0.1603376269340515,0.849738741515511,19.772225398309512,0.9967657327651978,0.8635849952697754,0.3409925401210785,
adding,2446,0.1645195186138153,0.8480702845192699,17.143660626409414,1.9865387678146362,0.8492324948310852,0.3339798152446747,
adding,2513,0.14946356415748596,0.8824908035700053,17.534152018000505,0.13526928424835205,0.8800774216651917,0.27953940629959106,
adding,2519,0.20636051893234253,0.8755634829845595,17.418446686212125,1.3968762159347534,0.8040632009506226,0.2995319962501526,
adding,2535,0.10480199754238129,0.9165563165367946,22.968681750070353,0.2865678071975708,0.8564296364784241,0.2828522324562073,
adding,2564,0.32230156660079956,0.667936939193221,11.278457941716901,0.5736721754074097,0.8419696092605591,0.2715880274772644,
adding,2607,0.1816760152578354,0.9011371531938481,19.867690257676042,0.2865671217441559,0.8059962391853333,0.28764808177948,
adding,2618,0.15567681193351746,0.9387369529466341,21.000132340252158,0.7809927463531494,0.8236979842185974,0.34012746810913086,
adding,2619,0.2047431468963623,0.843859287588487,16.686113374739033,1.1023074388504028,0.763020396232605,0.2897467017173767,
adding,2631,0.2811444401741028,0.7512409063841652,13.513648300103338,0.1388659030199051,0.8612367510795593,0.27845245599746704,
adding,2635,0.1417076289653778,0.8347840090067032,13.780928060530437,0.19027702510356903,0.9305967688560486,0.2932927906513214,
adding,2654,0.12672598659992218,0.9171832481834427,18.946170464357564,0.3038284182548523,0.841041088104248,0.273878812789917,
adding,2660,0.2086367905139923,0.8480938007920095,18.489370463646143,0.057258132845163345,0.835944652557373,0.2998362183570862,
adding,2669,0.3551638722419739,0.6458585490860087,12.550410820554356,0.10551615059375763,0.8422790765762329,0.3268975019454956,
adding,2680,0.30493977665901184,0.7163616165209175,13.124205017846977,0.49613475799560547,0.9030529856681824,0.26456835865974426,
adding,2684,0.5726124048233032,0.6103293225482028,10.699884681249575,0.2109280675649643,0.7890774607658386,0.27600955963134766,
adding,2698,0.2497551441192627,0.7922792185115247,14.587138148707265,0.8034662008285522,0.8907092809677124,0.2492450326681137,
