task,image_id,lpips,ssim,psnr,image_reward,fid
adding,2328,0.2224782109260559,0.6678392201166276,15.929103435361275,1.571367859840393,
adding,2332,0.2371213138103485,0.7748744082203909,14.413540038507687,1.2087883949279785,
adding,2335,0.3678051233291626,0.8772385543109569,15.890472569232903,0.371708482503891,
adding,2342,0.17013683915138245,0.847006878113317,17.419262061672796,1.70711350440979,
adding,2344,0.3399604558944702,0.6735159047563961,12.444700145998413,0.9145119190216064,
adding,2360,0.22718185186386108,0.8807375470642423,17.037783695580302,0.018620837479829788,
adding,2414,0.17700578272342682,0.9073281134500711,19.550915350521045,0.4899829030036926,
adding,2426,0.1714637577533722,0.8721050032845886,20.71821677905486,0.13150082528591156,
adding,2445,0.16610579192638397,0.8282782652785782,18.99753664767391,0.7552251815795898,
adding,2446,0.15894760191440582,0.8470492270789415,16.720737490157955,2.0002553462982178,
adding,2513,0.1298806071281433,0.8927450650148776,19.13204530762294,0.21298055350780487,
adding,2519,0.19535355269908905,0.8943284959092389,18.135202170173777,1.5500602722167969,
adding,2535,0.10541422665119171,0.9163118400939453,22.822644420177763,0.04085773229598999,
adding,2564,0.3199811577796936,0.6796632870867617,11.213414108852845,0.5250321626663208,
adding,2607,0.17428149282932281,0.9070734668286634,20.49079320993075,0.28926050662994385,
adding,2618,0.25666379928588867,0.8534647692788223,18.585740588186066,0.92130047082901,
adding,2619,0.19709086418151855,0.8387516283646064,16.78791956723862,1.0026178359985352,
adding,2631,0.2699905335903168,0.7172870586792209,14.029517573982588,0.171426460146904,
adding,2635,0.30311137437820435,0.8206824309467114,12.994290719217831,0.6753484010696411,
adding,2654,0.128195121884346,0.9252375337461093,19.89766424388383,0.3358118534088135,
adding,2660,0.19505713880062103,0.8366960421920391,19.251871456547196,-0.4327448606491089,
adding,2669,0.3511107563972473,0.6415751872615699,12.067818145576855,0.07187703251838684,
adding,2680,0.3063427805900574,0.7097875505823454,13.147528715315502,0.4787425696849823,
adding,2684,0.3159603476524353,0.7580696600130153,14.523137443090093,0.7109333276748657,
adding,2698,0.24691613018512726,0.80516636512462,15.099525547659098,0.7020881772041321,
adding,2708,0.15501855313777924,0.9025219538176451,17.83411371100016,1.5500245094299316,
adding,2721,0.23784825205802917,0.7792164070407464,14.477077508393263,0.5869603157043457,
adding,2723,0.09289061278104782,0.9376483467777295,23.856258850357328,0.32520535588264465,
adding,2731,0.25535184144973755,0.7842558993261687,13.400018130886238,0.23672614991664886,
adding,2732,0.16301798820495605,0.9316310415433121,21.939585154600895,1.589026689529419,
adding,2734,0.13612747192382812,0.8719390747432009,19.237379659671248,1.2983486652374268,
adding,2748,0.09785167872905731,0.9155721824557831,26.501474614878717,-0.11306732892990112,
adding,2767,0.20684263110160828,0.8863569704940502,20.857774675150278,-0.07656069099903107,
adding,2769,0.07082884758710861,0.9310668315703782,21.341406372517824,-0.40747731924057007,
adding,2792,0.24643957614898682,0.766723663343067,18.259147060799744,1.4506375789642334,
adding,2793,0.11567717790603638,0.8811487660490047,21.760897584085825,1.3275669813156128,
