task,image_id,lpips,ssim,psnr,image_reward,i2i_clip,i2t_clip,fid
adding,2328,0.1708761304616928,0.8300231634553024,17.048481163341535,1.6706326007843018,0.9342579245567322,0.29469993710517883,
adding,2332,0.19832107424736023,0.8801873903708183,15.22096354766882,1.1258758306503296,0.9035871028900146,0.33189764618873596,
adding,2335,0.36478811502456665,0.8753669062224455,15.2664564894278,0.6641238331794739,0.7498171925544739,0.2802518606185913,
adding,2342,0.16903577744960785,0.8616909784636073,17.8597752763361,1.6950321197509766,0.8827168345451355,0.29793840646743774,
adding,2344,0.2882031202316284,0.8453654413506769,13.284789075352956,0.9388896226882935,0.8775975108146667,0.2650570869445801,
adding,2360,0.22530099749565125,0.8909889743695146,18.310473998865852,0.4431604743003845,0.7705193758010864,0.29191669821739197,
adding,2414,0.15710364282131195,0.9298811856721182,22.346837965590183,0.4834049642086029,0.8756937384605408,0.2711852192878723,
adding,2426,0.4528253972530365,0.38208840024881985,14.498649557839663,-0.41010648012161255,0.9009197950363159,0.2638974189758301,
adding,2445,0.14261987805366516,0.8983855674655846,20.428421846828122,0.7993333339691162,0.8844080567359924,0.34073156118392944,
adding,2446,0.15893688797950745,0.8522904667562187,17.43664666827538,2.0027706623077393,0.8755388855934143,0.32899194955825806,
adding,2513,0.12923963367938995,0.9278048646235862,19.066089222443793,0.2359408736228943,0.888342022895813,0.2699674963951111,
adding,2519,0.14285120368003845,0.9329202394883159,21.76138896467826,1.5216814279556274,0.8191006183624268,0.30491262674331665,
adding,2535,0.0748462826013565,0.9462638866805234,26.164354840939836,-2.0756137371063232,0.930351734161377,0.25827500224113464,
adding,2564,0.29901742935180664,0.734420767254397,11.78864798662044,0.4386906027793884,0.8613240122795105,0.2688711881637573,
adding,2607,0.16161012649536133,0.9239318880216484,21.772215317960747,0.3360160291194916,0.8350132703781128,0.28695642948150635,
adding,2618,0.4155571460723877,0.38652352090210434,8.340031827839445,0.9329343438148499,0.8053687810897827,0.33279070258140564,
adding,2619,0.17604860663414001,0.9096843061508132,17.762449704636385,0.9967470169067383,0.813209056854248,0.28760063648223877,
adding,2631,0.22708919644355774,0.8586178177813554,15.024875729549308,0.18528081476688385,0.8917253017425537,0.27788543701171875,
adding,2635,0.21483725309371948,0.8911239456510179,16.223020770164645,-0.7639926671981812,0.9428447484970093,0.29357120394706726,
adding,2654,0.12666423618793488,0.9226441740304532,20.013519011158035,0.3325881361961365,0.8526801466941833,0.27133679389953613,
adding,2660,0.17635312676429749,0.8602137945803641,20.184967776002885,0.04135961830615997,0.8498339653015137,0.2899882197380066,
adding,2669,0.3540443480014801,0.6319503765708728,12.246085736583545,0.05517435446381569,0.8192501068115234,0.3340180218219757,
adding,2680,0.28412187099456787,0.7520653128965219,13.77313661959568,0.5006811022758484,0.9099429249763489,0.26490241289138794,
adding,2684,0.26181909441947937,0.865948672270389,15.879445898886837,0.4550784230232239,0.8408423662185669,0.2700255215167999,
adding,2698,0.2092907726764679,0.8809151841072637,16.392335953434426,0.7867600321769714,0.9300614595413208,0.23768430948257446,
adding,2708,0.13337773084640503,0.9214862101296818,19.646330521607712,0.8686580657958984,0.7473912239074707,0.3302161991596222,
adding,2721,0.20699594914913177,0.868805643706592,14.690978028704865,0.4096337556838989,0.8667284250259399,0.28875553607940674,
adding,2723,0.08494289219379425,0.9428225885193178,24.71060010670426,0.1672661453485489,0.8993878364562988,0.3042472302913666,
adding,2731,0.26199260354042053,0.7764301031543175,13.347726111235083,0.2113276571035385,0.8892658948898315,0.25647756457328796,
