task,image_id,lpips,ssim,psnr,image_reward,fid
adding,2328,0.18259066343307495,0.8371845487955348,17.996620966167573,0.92801433801651,
adding,2332,0.151373028755188,0.8556312966005734,16.51696056229804,1.0328279733657837,
adding,2335,0.24009454250335693,0.9085710546385427,19.003497749958825,0.8489382266998291,
adding,2342,0.11497019231319427,0.8921952814280848,19.089761422943372,1.6235361099243164,
adding,2344,0.27786022424697876,0.7726445279396014,13.764815495306536,1.0145690441131592,
adding,2360,0.1834426373243332,0.9219205693503284,19.909126723885862,0.6023911833763123,
adding,2414,0.15744146704673767,0.9489415517488266,25.86924190076185,0.4600834548473358,
adding,2426,0.08668646961450577,0.9305129110258963,21.253369601587245,-0.48089340329170227,
adding,2445,0.1658399999141693,0.8069722958331799,18.602211395839127,0.9742964506149292,
adding,2446,0.09729854762554169,0.9141876500607996,21.339107531838177,1.9898353815078735,
adding,2513,0.22148992121219635,0.8567764364479754,17.306388690419944,0.3439715802669525,
adding,2519,0.1834121197462082,0.90002800781602,18.266359155142943,1.5167239904403687,
adding,2535,0.09552313387393951,0.923103962900169,22.68950863533723,-1.1578763723373413,
adding,2564,0.3268965184688568,0.6676827827184052,11.657893474474507,0.5600374341011047,
adding,2607,0.16994500160217285,0.9240125616541802,21.087572386368706,0.36878055334091187,
adding,2618,0.20653395354747772,0.9215886816972939,21.122363956368243,0.4529177248477936,
adding,2619,0.09517045319080353,0.9070421540985208,23.084718004800582,0.7182794213294983,
adding,2631,0.21692954003810883,0.7887695878274089,15.844481365656744,0.03784676641225815,
adding,2635,0.559127688407898,0.33334147394652375,11.209830785630686,-0.3590174913406372,
adding,2654,0.06854397058486938,0.9421239859586531,24.798378148299363,0.2033512443304062,
adding,2660,0.17327386140823364,0.8679997738443861,21.467444878927054,0.15102702379226685,
adding,2669,0.3651104271411896,0.6158903163411328,11.742132929487124,0.0017370372079312801,
adding,2680,0.2013970911502838,0.8269172229229104,16.16555238076536,0.6438031792640686,
adding,2684,0.19307909905910492,0.9198563190060783,17.816570759362705,0.6742150187492371,
adding,2698,0.2525065243244171,0.8290603270431474,14.520048725094627,0.7009420394897461,
adding,2708,0.14254242181777954,0.9191890571569262,19.38132968325898,0.7782424092292786,
adding,2721,0.4006096124649048,0.6422718740173567,12.486009403436915,0.6852999329566956,
adding,2723,0.084835484623909,0.9438113792787095,24.34611525595919,0.28792014718055725,
adding,2731,0.23710040748119354,0.8318445247929102,15.258372040502643,0.5070508122444153,
adding,2732,0.1967831701040268,0.9252992306413473,20.068286153390076,1.6240525245666504,
adding,2734,0.10757846385240555,0.9192169784243948,21.385126815972924,1.3256142139434814,
adding,2748,0.06881675124168396,0.9270451269100772,26.24757461797703,0.08952191472053528,
adding,2767,0.17058145999908447,0.8751154296332159,23.71154638386762,-0.5131089687347412,
adding,2769,0.47422465682029724,0.27816836018769325,13.717573364593893,-0.23788811266422272,
adding,2792,0.16155306994915009,0.9020626939951609,22.928420075863045,1.320651650428772,
adding,2793,0.11328338086605072,0.8949564216398754,21.93784093174033,1.3115289211273193,
adding,2837,0.19220034778118134,0.9281409456275943,23.303661423506217,0.5495135188102722,
adding,2839,0.36366066336631775,0.7501618195271423,12.749332116328072,0.3325580954551697,
adding,2850,0.08494478464126587,0.9479341511641147,22.46574431518294,-0.16995692253112793,
adding,2859,0.2407938539981842,0.7120907597164224,14.697170205518082,0.6768461465835571,
adding,2873,0.22836878895759583,0.8537106555315995,17.49656662109003,0.4730388820171356,
adding,2877,0.17771121859550476,0.8920035206960847,19.468929515676827,0.038683827966451645,
adding,2895,0.09684839844703674,0.9278420426699384,24.91689739124993,0.5667490363121033,
adding,2930,0.1524273157119751,0.8555577903193484,16.09261709110237,1.5390292406082153,
adding,2941,0.22843065857887268,0.8365104996319829,17.007777543196475,0.1615149974822998,
adding,2948,0.11339747905731201,0.920385677867262,22.20957999808087,0.652606725692749,
adding,2955,0.21037590503692627,0.8611426857767768,15.404173853576811,-0.767821192741394,
adding,2974,0.14599546790122986,0.9543167373914322,26.192065603097376,0.33611127734184265,
adding,3013,0.1780291646718979,0.8469733254976234,24.00466904656796,0.5211157202720642,
adding,3024,0.5368412733078003,0.36757974422170886,5.620596392790298,0.06960990279912949,
adding,3037,0.0978127121925354,0.9173984871944708,20.86631098385039,0.4920370578765869,
adding,3039,0.6855445504188538,0.3216974396745242,11.729876702673959,1.6446990966796875,
adding,3041,0.27358412742614746,0.8638809950025856,18.225351980094064,0.6590834856033325,
adding,3044,0.16902045905590057,0.8972753203551843,18.817330279937156,-0.34817054867744446,
adding,3050,0.1078214943408966,0.9348455254144431,22.663057504653693,1.6020232439041138,
adding,3067,0.1494242548942566,0.9477322002493137,22.45159883605698,0.37470191717147827,
adding,3098,0.3458625376224518,0.16063199087433025,8.226706785299706,0.5382487773895264,
adding,3102,0.13873739540576935,0.9152207913235845,21.60409028611761,0.7813706994056702,
adding,3104,0.15753476321697235,0.9352496785150666,24.70008570023863,0.705371081829071,
adding,3109,0.5328204035758972,0.3105286059367092,10.565592321261242,-1.317702293395996,
adding,3112,0.21522459387779236,0.9053114877304216,19.391045130744743,0.6280102133750916,
adding,3131,0.17796370387077332,0.8630975114116097,14.360726712457934,0.48482295870780945,
adding,3152,0.38423746824264526,0.8263833284367376,13.270080071620313,0.48724523186683655,
adding,3179,0.21596276760101318,0.8784826241277824,18.192830774152164,0.6322553157806396,
adding,3210,0.1297885775566101,0.9002077360925639,21.24081447207908,-0.656510055065155,
adding,3214,0.10317185521125793,0.907161496465179,21.364212166620092,-0.13573423027992249,
adding,3226,0.09761857986450195,0.8958410410524008,18.47585242130232,0.14608420431613922,
adding,3228,0.07536971569061279,0.9243907304811957,24.423737322686986,1.3849190473556519,
adding,3233,0.21332019567489624,0.8952539552353391,19.41744247585624,0.00795653834939003,
adding,3247,0.26062464714050293,0.9290281228499867,19.938801437245925,1.3908157348632812,
adding,3254,0.2740095853805542,0.7746052363979264,18.17146119080033,1.0686131715774536,
adding,3278,0.15712665021419525,0.8717823606390454,24.29525864581909,-0.7716492414474487,
adding,3292,0.12127196788787842,0.9083895345738798,22.787493639948266,-1.3115813732147217,
adding,3297,0.09006321430206299,0.9070340615854878,17.427172261995064,1.1409423351287842,
adding,3298,0.36744195222854614,0.76575248814407,15.210833611293342,0.08899747580289841,
adding,3302,0.21708062291145325,0.8937352902889705,14.20401176491656,0.015537079423666,
adding,3333,0.1663389801979065,0.8800656657773654,19.849682160617746,1.2346051931381226,
adding,3335,0.1010386198759079,0.8911250354108414,17.13066984046051,1.0542267560958862,
adding,3336,0.2938464283943176,0.7132445719402574,14.419133465502632,-1.256496548652649,
adding,3358,0.11891962587833405,0.8853896399233316,21.857988167081462,0.34769633412361145,
adding,3360,0.18107104301452637,0.9165711868600935,20.937971746529822,0.7704683542251587,
adding,3365,0.12021002918481827,0.8690821105421244,21.743728244994003,-0.8247250914573669,
adding,3370,0.2981048822402954,0.8421916742218398,13.829632058740486,0.4820065498352051,
adding,3372,0.1505335420370102,0.908353127713112,18.594634552267,0.445208340883255,
adding,3401,0.2040589153766632,0.9171957833877068,18.531547413821844,0.3733653128147125,
adding,3405,0.46893545985221863,0.5356203741916831,16.733569230942596,-1.2301050424575806,
adding,3409,0.10042290389537811,0.9007767327586581,18.433196015689735,0.5896083116531372,
adding,3422,0.0857432633638382,0.9398186708150198,18.34019711196746,0.6019101738929749,
adding,3455,0.2159167379140854,0.8294256192822083,14.292776394043742,-0.21749792993068695,
adding,3457,0.2113027125597,0.9314387887820222,25.61415825797743,0.36516058444976807,
adding,3486,0.32586029171943665,0.6411751776544028,17.70827599645283,1.6067801713943481,
adding,4417,0.21520937979221344,0.9406492566971645,21.66601997223237,0.22315555810928345,
adding,6834,0.3286076784133911,0.7113554591700436,15.306821577962817,1.6439769268035889,
adding,7130,0.23841530084609985,0.8564176106675897,17.15476933123862,0.4226437211036682,
adding,7720,0.19433532655239105,0.910150789952643,16.79138518406605,1.4711530208587646,
adding,8214,0.1565975844860077,0.8928478292215677,25.387597270858826,-0.3439081311225891,
adding,8221,0.11247972398996353,0.9414340229706069,24.507346306160613,0.8649564981460571,
adding,8226,0.05411370098590851,0.9614702881549307,21.25681932457728,0.2346942275762558,
adding,8255,0.46970951557159424,0.499935840817755,11.323410032491017,0.2378034144639969,
adding,8271,0.08283398300409317,0.9413375718319789,24.00429055823634,0.5057223439216614,
adding,8276,0.2213447093963623,0.8214388510578635,16.681972919550823,0.8612737655639648,
adding,8277,0.17180198431015015,0.9038875995443321,18.508509086597197,0.6446834802627563,
adding,8313,0.10286372900009155,0.902329819647167,17.347835168470745,-0.3029499650001526,
adding,8329,0.3001003861427307,0.8653091360220776,19.93802021462696,-0.4710712730884552,
adding,8347,0.23518586158752441,0.8890088514750113,18.39491246247402,0.38478344678878784,
adding,8378,0.1943507194519043,0.8029270858349511,15.745528977157832,0.9122271537780762,
adding,8393,0.16362106800079346,0.9246547464452036,21.867083384531334,1.0204416513442993,
adding,8406,0.0965452641248703,0.8800198442986265,22.0551566010688,-0.20196785032749176,
adding,8411,0.2098730355501175,0.8390958361205128,16.52886819023517,1.7397665977478027,
adding,8417,0.24678108096122742,0.8613219612466004,16.933126446821714,1.071325421333313,
adding,8421,0.18237155675888062,0.9075931793655467,21.414969585131118,0.38698455691337585,
adding,8428,0.20878396928310394,0.8617619434423643,16.64397748136742,0.8192300200462341,
adding,8439,0.1664273738861084,0.7587627345621196,17.499338647314694,0.8714333176612854,
adding,8522,0.04412303864955902,0.897446350563137,24.42458721327732,-0.3308512568473816,
adding,8539,0.17261101305484772,0.8518649170499236,18.709561125321997,1.8301912546157837,
adding,8584,0.13996849954128265,0.8641304789273597,21.45768061591297,0.14475437998771667,
adding,8585,0.16418537497520447,0.9232310060087006,20.465440767427125,0.5673338770866394,
adding,8587,0.07536636292934418,0.9352201594144144,24.433572165700348,-0.29111576080322266,
adding,8628,0.16469943523406982,0.9083586877284532,22.121325060468266,0.968192458152771,
adding,8631,0.22897164523601532,0.7249056593049118,15.590433316210692,-0.9259681105613708,
adding,8649,0.12728893756866455,0.9297469844273875,21.593510317688846,-0.13210207223892212,
adding,8668,0.11493407189846039,0.8973336713237878,19.359827243848088,0.9651257395744324,
adding,8677,0.11168219149112701,0.8869183378387815,22.425768778186857,0.6262803673744202,
adding,8705,0.2223612368106842,0.8970581949578437,19.623145060013353,0.2821042537689209,
adding,8709,0.0860181599855423,0.9158291979800648,27.323899075780275,0.034168630838394165,
adding,8725,0.11635885387659073,0.9319990646480826,22.76219150804416,0.8219748735427856,
