task,image_id,lpips,ssim,psnr,image_reward,fid
adding,2328,0.2571771442890167,0.6082544909845966,16.85852278928472,1.254644751548767,
adding,2332,0.20305639505386353,0.7774621963357161,18.037456085978995,1.178034782409668,
adding,2335,0.21433594822883606,0.9642710150472293,24.98919162015895,0.76688152551651,
adding,2342,0.08973316103219986,0.878231618970282,21.477647963942204,1.612236499786377,
adding,2344,0.2750065326690674,0.7784619821855591,15.69627782034507,0.8684698939323425,
adding,2360,0.09742707014083862,0.9450117828558365,24.676538035522256,0.46729451417922974,
adding,2414,0.1568501889705658,0.9108879344103267,23.381832832929792,0.509394109249115,
adding,2426,0.45689061284065247,0.4155462495331285,14.29124020794535,0.030598977580666542,
adding,2445,0.16732797026634216,0.8243620474297065,18.815970383695518,0.7374581098556519,
adding,2446,0.1439439058303833,0.832034675093882,18.502547908356007,1.9961309432983398,
adding,2513,0.12388783693313599,0.9004516512861791,21.313001233803107,0.30121052265167236,
adding,2519,0.14308024942874908,0.9060671709746666,20.63372788948363,1.495841145515442,
adding,2535,0.10707150399684906,0.9156731580182162,24.541034666343286,-1.9100993871688843,
adding,2564,0.33883747458457947,0.6348348763733838,11.640856164229056,0.6673772931098938,
adding,2607,0.12239596992731094,0.9156588178904995,22.41289379808778,0.3637528419494629,
adding,2618,0.4656273126602173,0.4806921330581691,10.184860806626668,0.8140615224838257,
adding,2619,0.12870533764362335,0.8740376837150915,24.172384961723278,0.7178875207901001,
adding,2631,0.2138853818178177,0.7841434175471632,15.53232879854098,0.23920434713363647,
adding,2635,0.2746499180793762,0.8442305360433372,12.98250614265513,0.46417099237442017,
adding,2654,0.0789831280708313,0.9465111194572972,25.430122124183928,0.3756573498249054,
adding,2660,0.1776050478219986,0.7910658286322577,20.546238759250382,-0.24098002910614014,
adding,2669,0.35452476143836975,0.6119299539742838,11.04436905005312,-0.022015757858753204,
adding,2680,0.3236210346221924,0.6753489674216241,14.113059247295247,0.40462300181388855,
adding,2684,0.3078157305717468,0.8665765680586301,15.485691142976549,0.5703665018081665,
adding,2698,0.18427787721157074,0.8666899041656947,18.539939098044023,0.8247734308242798,
adding,2708,0.17818018794059753,0.8810573826044789,18.54636321058078,0.7735418081283569,
adding,2721,0.20285676419734955,0.7239268606279401,14.029882445268933,0.5670753717422485,
adding,2723,0.11573050916194916,0.9062057389602636,20.503699642589357,-0.09290109574794769,
adding,2731,0.17681509256362915,0.843884044613167,17.656921853937234,0.1453484147787094,
adding,2732,0.09986533224582672,0.9177537379255881,22.686020443094748,1.591482400894165,
adding,2734,0.18448635935783386,0.7307847623094513,15.454474020908345,1.1441376209259033,
adding,2748,0.0802585557103157,0.922208313186844,26.062926764112717,-0.6649547815322876,
adding,2767,0.0962933897972107,0.9068976994032477,23.20758830652528,-1.0858945846557617,
adding,2769,0.3679655194282532,0.4082463533363602,16.375214501760553,-0.13314610719680786,
adding,2792,0.20571520924568176,0.7685201481853791,20.957146392611847,1.3039289712905884,
adding,2793,0.15944918990135193,0.826866552662049,22.19808645124531,1.0858429670333862,
adding,2837,0.12216655910015106,0.939378521690108,26.528126588377532,0.6264698505401611,
adding,2839,0.2247534692287445,0.8474642909168698,18.25624326960491,0.5467541813850403,
adding,2850,0.09052813053131104,0.9091647129729387,25.68667282775541,0.11870487034320831,
adding,2859,0.17971497774124146,0.7602359678250382,18.91413829756306,0.7200172543525696,
adding,2873,0.2115529179573059,0.8359326817590467,16.929998786866843,0.12859901785850525,
adding,2877,0.07053040713071823,0.9102197130062238,24.66834381250322,-0.45175132155418396,
adding,2895,0.09388765692710876,0.9239898203793185,25.00510566566014,0.47769853472709656,
adding,2930,0.19500833749771118,0.8445963947961196,16.083046931235742,1.193238615989685,
adding,2941,0.20817117393016815,0.896160630654741,16.38590547702616,0.3574222922325134,
adding,2948,0.08282504230737686,0.9501840103706803,26.693382500801825,0.1508684605360031,
adding,2955,0.2874942421913147,0.7698675699004943,14.097450441104463,-0.06911788135766983,
adding,2974,0.08374758064746857,0.9686493716928952,27.126258755306015,0.09020786732435226,
adding,3013,0.19738148152828217,0.7535244269110813,23.265639257954618,0.38562333583831787,
adding,3024,0.4329140782356262,0.512423849903441,6.48252427988877,0.04364369437098503,
adding,3037,0.11123788356781006,0.9120761194207785,21.1546546827009,0.13748501241207123,
adding,3039,0.6574910879135132,0.36418992607837924,12.314918587820873,1.273781657218933,
adding,3041,0.13797880709171295,0.9099011200905743,22.72102144208045,0.22092117369174957,
adding,3044,0.18757881224155426,0.8836385004239138,18.490961495005426,-0.5430999398231506,
adding,3050,0.10831298679113388,0.9093626969512224,22.145456554923847,1.6410174369812012,
adding,3067,0.11832111328840256,0.9498175764839617,20.808741270106644,0.5039395093917847,
adding,3098,0.3977910876274109,0.1552038674594676,8.089611901734651,0.5245707631111145,
adding,3102,0.061155155301094055,0.9485425317962392,26.65662791101702,0.5972071290016174,
adding,3104,0.10270638018846512,0.9288329543383887,19.333034436245907,0.7563523650169373,
adding,3109,0.5185372829437256,0.327630055667901,11.211768156758197,-0.744179368019104,
adding,3112,0.11884142458438873,0.9767531673685159,29.06851018273717,0.0947938933968544,
adding,3131,0.1926785260438919,0.7701245329850829,14.54068708952465,-0.0785239040851593,
adding,3152,0.5120385885238647,0.6837025271412749,10.618207355150467,0.3389453887939453,
adding,3179,0.11461302638053894,0.9126173448603296,22.918400510567267,0.5938590168952942,
adding,3210,0.12504291534423828,0.8036338482803679,19.48763465149272,-1.7059017419815063,
adding,3214,0.12045811116695404,0.8787157704598113,20.455672491360787,0.29712119698524475,
adding,3226,0.28134700655937195,0.7276794789100812,13.646909801014381,0.981938898563385,
adding,3228,0.07829783856868744,0.9153838477093319,23.03201026408326,1.5075007677078247,
adding,3233,0.13541942834854126,0.9163640417146436,21.651241237791616,-0.2892497181892395,
adding,3247,0.12671002745628357,0.9090294716249723,18.40732539347858,-1.9937713146209717,
adding,3254,0.24018165469169617,0.8013262466664518,19.281589280306303,1.1308249235153198,
adding,3278,0.1783796101808548,0.8152422759288732,21.11426305005442,-0.6619385480880737,
adding,3292,0.166324645280838,0.8718576409354696,18.555353114456704,-0.3421354591846466,
adding,3297,0.1001414954662323,0.9059410013939012,16.520163208787682,0.9252984523773193,
adding,3298,0.39598315954208374,0.6628641403066166,13.227184894535347,0.0036581074818968773,
adding,3302,0.2023947685956955,0.9055993155504476,17.10561823144936,-0.032127365469932556,
adding,3333,0.16998741030693054,0.8212540267675991,21.091434626842883,1.069404125213623,
adding,3335,0.09756047278642654,0.8994676512126905,17.201216058046455,1.0158442258834839,
adding,3336,0.6216614246368408,0.18873915702435465,10.709497854056922,-1.470557689666748,
adding,3358,0.41589149832725525,0.3789751824209633,15.410136639213263,0.6117187738418579,
adding,3360,0.10181965678930283,0.9274303684522335,19.160754200238244,0.7990283370018005,
adding,3365,0.1702350527048111,0.8216167461158106,21.352495338163383,-0.7218554615974426,
adding,3370,0.25169476866722107,0.9095918834633969,19.293304415779396,0.3844335973262787,
adding,3372,0.21424278616905212,0.7919018328080072,16.205883971767093,0.5990793108940125,
adding,3401,0.10363074392080307,0.9454801384164302,25.739444788475137,0.4156816601753235,
adding,3405,0.6119113564491272,0.40250294154801664,12.9610784898845,-0.6181651949882507,
adding,3409,0.2813352346420288,0.7498541847387269,14.443354740233588,1.0862926244735718,
adding,3422,0.13962095975875854,0.9136574176355485,16.363893537413286,0.3843366503715515,
adding,3455,0.18199941515922546,0.7730882008013534,13.868249224628372,0.23262348771095276,
adding,3457,0.15217119455337524,0.9272534725009723,25.086808111202757,0.27668139338493347,
adding,3486,0.1620224267244339,0.8118347708045537,20.4105824364885,1.5277411937713623,
adding,4417,0.10607366263866425,0.95789842310911,25.228694187619702,-0.010364065878093243,
adding,6834,0.31854093074798584,0.6986377434696753,14.789795864109063,1.8113189935684204,
adding,7130,0.14824388921260834,0.9347004877096053,19.897169765504454,0.15739841759204865,
adding,7720,0.522468626499176,0.6905874043612455,13.361878418670006,1.4811373949050903,
adding,8214,0.07663337886333466,0.9290071416215516,24.603993536661278,-0.38523587584495544,
adding,8221,0.0773000419139862,0.9373143538279815,25.28164279531985,0.5184261202812195,
adding,8226,0.07021436095237732,0.9322618378058558,21.896641700978364,0.14210553467273712,
adding,8255,0.3203599750995636,0.6174419223866999,10.888595357087436,0.16030651330947876,
adding,8271,0.098880834877491,0.9310888371227937,23.32354655103068,0.6056553721427917,
adding,8276,0.21599841117858887,0.7981629294152542,16.796186896950957,0.8576903343200684,
adding,8277,0.11405852437019348,0.9187708363539663,23.857678546815514,0.594623863697052,
adding,8313,0.10258708894252777,0.9021540887520976,18.264088077082505,-0.4131224751472473,
adding,8329,0.34007781744003296,0.8270211189125477,20.191691771439828,-0.575201690196991,
adding,8347,0.09642042219638824,0.9140978628025493,24.38896571383765,-0.26465511322021484,
adding,8378,0.15402695536613464,0.8223862758760635,15.922758204425518,0.8057382106781006,
adding,8393,0.39625775814056396,0.5251155110608298,10.950146923292191,1.0620479583740234,
adding,8406,0.12172511219978333,0.8424550047103013,21.37371524684744,-0.2054341733455658,
adding,8411,0.1511457860469818,0.875243492023917,20.143645233426582,1.7341580390930176,
adding,8417,0.22756436467170715,0.9177454946502656,20.702230121195417,0.7011674642562866,
adding,8421,0.21432280540466309,0.8463251879550805,27.2733116425943,0.14582285284996033,
adding,8428,0.20513412356376648,0.8628160241510653,17.74725193416267,0.8697497248649597,
adding,8439,0.11619928479194641,0.8310164979408756,19.95987749008894,0.7995920777320862,
adding,8522,0.050278402864933014,0.9060379116696611,24.303131666111174,-0.30065038800239563,
adding,8539,0.1328614056110382,0.8721662042334507,18.92212527573531,-0.3278660774230957,
adding,8584,0.08138974010944366,0.8477780155445261,30.66977518225729,-1.9081244468688965,
adding,8585,0.09335843473672867,0.9308793666093912,23.003566879362282,0.6245735883712769,
adding,8587,0.1088779866695404,0.8822899339243019,22.98872694548124,-0.23404629528522491,
adding,8628,0.2169460952281952,0.8600480636679411,20.198990803927668,1.004228949546814,
adding,8631,0.2942289710044861,0.5749279608659368,14.216193662563214,-0.9899583458900452,
adding,8649,0.0817163959145546,0.91780986263516,24.10220607331621,-0.38072118163108826,
adding,8668,0.15605027973651886,0.8530599336613398,17.14834010320573,0.9399521350860596,
adding,8677,0.07933709025382996,0.9051284130549445,24.215873844711005,0.545242965221405,
adding,8705,0.22132021188735962,0.9341663056728864,22.4095320089563,0.46998897194862366,
adding,8709,0.10082641988992691,0.869262556940772,26.01795254496997,0.30674663186073303,
adding,8725,0.11733096837997437,0.9038605042682892,22.274592090472993,1.1533091068267822,
adding,8778,0.16163094341754913,0.8541691120353856,16.52675839034034,-0.30645090341567993,
adding,8785,0.14780327677726746,0.8809560214400065,18.494685607616127,1.077256679534912,
adding,8788,0.1627713292837143,0.8821806516183449,20.397111886790388,1.09197998046875,
adding,8794,0.3722892999649048,0.4118578677518611,16.246923205975257,1.210597276687622,
adding,8803,0.2081434577703476,0.85128042906359,19.005841786399426,1.4198496341705322,
adding,8824,0.14694209396839142,0.9133043475559153,23.848826620527028,0.9612545967102051,
adding,8836,0.21167755126953125,0.963487704367849,24.839195929867913,0.521598219871521,
adding,8854,0.2550826966762543,0.912871644698415,19.529284482675852,0.11054961383342743,
adding,8887,0.2420608550310135,0.7975276102286611,18.934626793413525,1.220300316810608,
adding,8892,0.13446247577667236,0.8770086976546424,18.819012955102433,-0.3510754406452179,
adding,8898,0.12371067702770233,0.8774920431845148,22.4758475515628,-1.7361687421798706,
adding,8906,0.18551857769489288,0.8194500036854357,22.25196538205937,0.3534434735774994,
adding,8926,0.15943199396133423,0.8473499997355193,13.64069401338239,0.7720239162445068,
adding,8928,0.24176521599292755,0.7488179783060231,13.969561476367339,0.5703699588775635,
adding,8931,0.13753418624401093,0.8402662741425438,22.318602620680377,1.2578530311584473,
adding,8932,0.14097058773040771,0.8966673659805652,19.26095314846271,0.3330790102481842,
adding,8950,0.16321834921836853,0.881894014777247,23.026359950360273,0.6490442752838135,
adding,8960,0.1945456564426422,0.9122037950461489,21.512668247226987,0.6135707497596741,
adding,8982,0.09908851981163025,0.8827181820686234,23.432607634941643,1.6065229177474976,
adding,9019,0.1521446406841278,0.9108452465872602,22.753786049566237,-2.1622440814971924,
adding,9045,0.1430610567331314,0.8962643212875016,20.795615839240398,1.1152102947235107,
adding,9051,0.16449320316314697,0.8552667785399263,22.279748716703175,-0.3843826651573181,
adding,9068,0.10615365952253342,0.9215554455677603,24.734523846298476,1.0917398929595947,
adding,9115,0.10375615954399109,0.9228065448066722,24.82629607479524,-0.06579768657684326,
adding,9158,0.18847115337848663,0.8758028549008844,18.32477757720418,0.8472101092338562,
adding,9183,0.09400388598442078,0.9517284706866955,27.87899360111362,0.7642385959625244,
adding,9189,0.3029148578643799,0.8528150052413356,16.97069918496775,-0.49010202288627625,
adding,9198,0.37346911430358887,0.8150839713398672,15.040401866366327,0.7238860726356506,
adding,9214,0.19336210191249847,0.9321013648839888,25.401530031457963,0.4269469380378723,
adding,9217,0.11469472944736481,0.9015206136620032,19.135309014087397,-0.6556529998779297,
adding,9227,0.1330927014350891,0.9400531163147442,22.0984816713462,-0.995322048664093,
adding,9234,0.0864657461643219,0.9509311150295897,27.14877396152985,-0.6509669423103333,
adding,9242,0.2548014521598816,0.9581641800354728,24.61821395979074,0.7850190997123718,
adding,9259,0.08752959966659546,0.9322191097055667,23.156845100538828,0.6016932725906372,
adding,9277,0.1999502331018448,0.6171264568163051,20.746937107034746,0.02782442234456539,
adding,9294,0.23617862164974213,0.7635718762341918,14.469466054509095,0.5920935869216919,
adding,10119,0.17381738126277924,0.9008121311586184,19.28016958887412,0.3267192542552948,
adding,11349,0.1331322342157364,0.8749151912879753,19.333798036105296,0.05726815387606621,
adding,11987,0.1512680947780609,0.9251943704334273,21.312846055954413,1.155732274055481,
adding,12842,0.2479477822780609,0.7903923312235159,15.086141917889016,-0.43853941559791565,
adding,12861,0.2201521098613739,0.7560070931489458,13.107092012475473,0.2822897434234619,
adding,12890,0.22331321239471436,0.8937183641774377,20.455378850619045,0.5012098550796509,
adding,12932,0.5001955628395081,0.6876667196328019,9.835485912096853,-0.6784342527389526,
adding,12937,0.1291259229183197,0.9402945396954787,26.87260068991222,0.775812566280365,
adding,12941,0.1436566263437271,0.8789096460400817,20.297006906863125,1.0916423797607422,
adding,12953,0.10038403421640396,0.8972123540731828,21.57691755490571,0.5638764500617981,
